Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB
329.0,De'Anthony Melton,SG,24.0,12.7,0.9,1.6,4.2,0.3051359516616314,0.2429906542056075,0.3279999999999999
330.0,Sam Merrill,SG,26.0,15.5,1.2,0.0,0.2,0.1510574018126888,0.0934579439252336,0.144
331.0,Chimezie Metu,PF,25.0,17.3,-0.1,0.3,2.1,0.148036253776435,0.0560747663551401,0.24
332.0,Khris Middleton,SF,31.0,17.4,0.8,0.6,1.9,0.4561933534743202,0.4579439252336449,0.336
333.0,Patty Mills,PG,34.0,10.6,-3.1,-0.2,0.4,0.1873111782477341,0.1308411214953271,0.088
334.0,Shake Milton,SG,26.0,12.7,-2.0,0.0,2.9,0.2537764350453172,0.2990654205607477,0.2
335.0,Justin Minaya,SF,23.0,4.0,-9.0,-0.2,-0.1,0.1299093655589124,0.0934579439252336,0.304
336.0,Josh Minott,SF,20.0,17.9,-1.6,0.0,0.3,0.093655589123867,0.02803738317757,0.136
337.0,Davion Mitchell,PG,24.0,9.4,-2.8,-0.3,1.5,0.1691842900302114,0.2149532710280373,0.104
338.0,Donovan Mitchell,SG,26.0,22.9,6.3,5.0,8.9,0.8549848942598187,0.4112149532710281,0.344
339.0,Evan Mobley,PF,21.0,17.9,1.7,2.5,8.5,0.4894259818731117,0.2616822429906542,0.72
340.0,Isaiah Mobley,PF,23.0,14.1,-1.4,0.0,0.2,0.0785498489425981,0.02803738317757,0.136
341.0,Chima Moneke,SF,27.0,-3.5,-20.7,0.0,0.0,0.0302114803625377,0.0467289719626168,0.08
342.0,Malik Monk,SG,24.0,16.6,0.3,1.0,3.2,0.4078549848942598,0.3644859813084112,0.208
343.0,Moses Moody,SG,20.0,10.3,-2.6,-0.1,1.3,0.1450151057401812,0.0747663551401869,0.136
344.0,Xavier Moon,SG,28.0,7.2,-5.1,0.0,0.0,0.0543806646525679,0.1214953271028037,0.064
345.0,Wendell Moore Jr.,SG,21.0,9.3,-2.4,0.0,0.1,0.0422960725075528,0.0560747663551401,0.048
346.0,Ja Morant,PG,23.0,23.3,5.7,3.8,6.0,0.7915407854984894,0.7570093457943925,0.472
347.0,Marcus Morris,PF,33.0,10.5,-1.9,0.0,2.0,0.3383685800604229,0.1682242990654205,0.32
348.0,Markieff Morris,PF,33.0,10.066666666666666,-3.466666666666667,-0.06666666666666667,0.26666666666666666,0.11983887210473305,0.08099688473520243,0.152
349.0,Monte Morris,PG,27.0,15.0,0.5,1.1,4.2,0.311178247734139,0.4953271028037383,0.272
350.0,Trey Murphy III,SF,22.0,15.2,1.8,2.3,7.6,0.4380664652567975,0.1308411214953271,0.288
351.0,Dejounte Murray,SG,26.0,17.0,1.0,2.1,4.7,0.6193353474320241,0.5700934579439252,0.424
352.0,Jamal Murray,PG,25.0,18.0,1.3,1.8,5.1,0.6042296072507553,0.5794392523364487,0.32
353.0,Keegan Murray,SF,22.0,12.3,-0.6,0.8,4.3,0.3685800604229607,0.1121495327102803,0.368
