Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
401.0,Mike Muscala,C,30.0,19.7,5.0,1.1,2.1,0.261437908496732,0.0462962962962962,0.2040816326530612,0.2091589303034501,0.488,0.96
402.0,Svi Mykhailiuk,SF,24.0,9.6,-2.9,-0.2,0.8,0.1503267973856209,0.074074074074074,0.108843537414966,0.2517666620479423,0.5,1.59
403.0,Abdel Nader,SF,28.0,4.9,-4.9,-0.1,0.0,0.0784313725490196,0.0462962962962962,0.1292517006802721,0.0531384231675211,0.549,2.08
404.0,Larry Nance Jr.,C,29.0,14.4,0.3,0.5,1.9,0.2254901960784313,0.1851851851851851,0.3809523809523809,0.3045586808923375,0.402,-3.96
404.0,Larry Nance Jr.,PF,29.0,14.2,-1.9,0.0,0.4,0.2385620915032679,0.0833333333333333,0.2925170068027211,0.0693501454898157,0.512,1.63
406.0,Aaron Nesmith,SF,22.0,7.3,-4.3,-0.3,0.4,0.1241830065359477,0.037037037037037,0.1156462585034013,0.2019537203824303,0.695,6.38
407.0,Raul Neto,PG,29.0,12.4,-2.9,-0.4,1.5,0.2450980392156862,0.287037037037037,0.1292517006802721,0.4813634474158237,0.427,-1.06
409.0,Georges Niang,PF,28.0,10.7,-1.9,0.0,2.8,0.3006535947712418,0.1203703703703703,0.1836734693877551,0.6085631148676734,0.659,4.37
410.0,Daishen Nix,SG,19.0,8.1,-6.4,-0.3,-0.2,0.1045751633986928,0.1574074074074073,0.0952380952380952,0.0934945268116946,0.268,-7.62
411.0,Zeke Nnaji,PF,21.0,13.5,-2.2,0.0,1.8,0.2156862745098039,0.037037037037037,0.2448979591836735,0.2469862823888041,0.646,3.04
412.0,Nerlens Noel,C,27.0,11.8,0.3,0.3,1.5,0.1111111111111111,0.0833333333333333,0.3809523809523809,0.2017805182208673,0.573,2.99
413.0,Jaylen Nowell,SG,22.0,16.8,0.8,0.7,2.8,0.2777777777777778,0.1944444444444444,0.1360544217687075,0.3424899542746293,0.512,-0.22
414.0,Frank Ntilikina,SG,23.0,10.4,-1.9,0.0,0.9,0.1339869281045751,0.1111111111111111,0.0952380952380952,0.2406817237079118,0.463,-0.14
415.0,Jusuf Nurkić,C,27.0,20.0,0.3,0.9,3.6,0.4901960784313725,0.2592592592592592,0.7551020408163266,0.5560482194817791,0.402,-3.96
416.0,David Nwaba,SF,29.0,15.3,-0.6,0.2,1.3,0.1666666666666666,0.074074074074074,0.2244897959183673,0.2148399612027158,0.268,-7.62
417.0,Jordan Nwora,SF,23.0,9.9,-4.1,-0.6,0.6,0.2581699346405229,0.0925925925925925,0.2448979591836735,0.4164126368297076,0.707,3.61
418.0,Royce O'Neale,SF,28.0,10.3,0.8,1.7,5.5,0.2418300653594771,0.2314814814814814,0.326530612244898,0.8435638076763197,0.451,-1.03
419.0,Semi Ojeleye,PF,27.0,5.0,-6.6,-0.4,0.1,0.0947712418300653,0.0277777777777777,0.1972789115646258,0.1113343494526811,0.707,3.61
420.0,Chuma Okeke,PF,23.0,12.0,-0.1,0.8,2.2,0.2810457516339869,0.1574074074074073,0.3401360544217687,0.6138284605791879,0.415,-2.39
421.0,Josh Okogie,SG,23.0,9.0,-2.7,-0.1,0.7,0.088235294117647,0.0462962962962962,0.0952380952380952,0.1816890674795621,0.512,-0.22
422.0,Onyeka Okongwu,C,21.0,19.8,0.8,0.7,4.2,0.2679738562091503,0.1018518518518518,0.4013605442176871,0.3501108493834003,0.5,0.32
423.0,Isaac Okoro,SF,21.0,10.4,-1.7,0.1,4.2,0.2875816993464052,0.1666666666666666,0.2040816326530612,0.6957877234307883,0.622,5.23
424.0,KZ Okpala,PF,22.0,10.4,-2.8,-0.1,0.5,0.1209150326797385,0.0648148148148148,0.1360544217687075,0.0878481363447415,0.537,-0.13
425.0,Victor Oladipo,SG,29.0,16.8,1.3,0.1,0.4,0.4052287581699346,0.324074074074074,0.1972789115646258,0.0667174726340584,0.537,-0.13
427.0,Kelly Olynyk,C,30.0,16.7,1.6,0.7,1.6,0.2973856209150327,0.2592592592592592,0.2993197278911565,0.2705764167936815,0.207,-7.73
