Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (DecisionTree),Predicted Trade Value (RandomForest),Predicted Trade Value (GradientBoosting),Predicted WLp (DecisionTree),Predicted WLp (RandomForest),Predicted WLp (GradientBoosting),Predicted SRS (DecisionTree),Predicted SRS (RandomForest),Predicted SRS (GradientBoosting)
348,Markieff Morris,PF,33,10.7,-1.9,0,0.4,0.108761329,0.08411215,0.176,0.102086231,0.549,1.03,-0.784467716,-0.595347185,-0.560076404,-0.515557668,0.495860902,0.496115045,0.509374768,-0.289736842,-0.275107813,0.169151186
298,Robin Lopez,C,34,11.6,-3,-0.1,0.6,0.090634441,0.046728972,0.112,0.10608484,0.622,5.23,-0.887122551,-0.603287483,-0.565988955,-0.553562297,0.492780797,0.491827704,0.50671562,-0.254981884,-0.302217811,0.140500398
121,Gorgui Dieng,C,33,9.9,-3.9,-0.2,0,0.117824773,0.158878505,0.28,0.127781641,0.268,-9.82,-0.827101613,-0.572632273,-0.584644151,-0.578121917,0.495860902,0.496115045,0.508725888,-0.289736842,-0.275107813,0.489724708
89,Kennedy Chandler,PG,20,10.6,-2.7,0,0.3,0.066465257,0.14953271,0.088,0.099721836,0.622,3.6,-0.797708582,-0.512850181,-0.590176862,-0.548658973,0.49805314,0.498016101,0.498615551,-0.06852657,-0.072388191,-0.160907682
196,Kevon Harris,SG,25,9.2,-3.6,-0.2,0.6,0.123867069,0.046728972,0.168,0.16286509,0.415,-2.39,-0.863159049,-0.589998784,-0.592262798,-0.543721696,0.508199225,0.507789807,0.50941437,0.308763566,0.295673654,0.408765468
148,Simone Fontecchio,SF,27,8,-5.2,-0.6,-0.1,0.190332326,0.074766355,0.136,0.270757997,0.451,-1.03,-0.985507136,-0.60929853,-0.592549096,-0.566862192,0.500202381,0.50019914,0.495656935,0.008038095,0.011197132,0.145379025
26,Dominick Barlow,PF,19,12.4,-4.6,-0.3,0.7,0.117824773,0.08411215,0.288,0.146244784,0.268,-9.82,-0.714150459,-0.602244967,-0.596104559,-0.574663767,0.498444444,0.497694561,0.509128537,-0.062469136,-0.080754238,0.489724708
526,Ziaire Williams,SF,21,7.4,-5.6,-0.5,0.1,0.172205438,0.08411215,0.168,0.199652295,0.622,3.6,-0.980684308,-0.624670389,-0.602247612,-0.62998935,0.504073129,0.503952846,0.51289628,0.152942177,0.159337781,-0.01887161
427,Matt Ryan,SF,25,10.6,-1.7,0,0.3,0.102719033,0.046728972,0.04,0.065090403,0.512,-0.22,-0.857772786,-0.617346383,-0.604202358,-0.530864462,0.508199225,0.507789807,0.509812058,0.308763566,0.295673654,0.010610273
206,Juancho Hernangómez,PF,27,7.6,-3.3,-0.2,0.7,0.087613293,0.056074766,0.232,0.217872045,0.5,1.59,-0.853989079,-0.595200676,-0.606069209,-0.604905205,0.500202381,0.50019914,0.499931925,0.008038095,0.011197132,0.140500398
90,Max Christie,SG,19,7.4,-3.1,-0.1,0.6,0.093655589,0.046728972,0.144,0.181675939,0.524,0.43,-0.866707378,-0.596070398,-0.607319003,-0.657915564,0.498444444,0.497694561,0.50671562,-0.062469136,-0.080754238,0.140500398
130,Jeff Dowtin,PG,25,9.9,-1.9,0,0.4,0.072507553,0.112149533,0.072,0.092976356,0.5,1.59,-0.831369907,-0.665445368,-0.607533373,-0.573332342,0.508199225,0.507789807,0.484708904,0.308763566,0.295673654,-0.160907682
383,Theo Pinson,SG,27,10.1,-3.4,-0.1,0.5,0.072507553,0.112149533,0.128,0.114429764,0.463,-0.14,-0.873153837,-0.57833356,-0.61888529,-0.626340863,0.500202381,0.50019914,0.485210206,0.008038095,0.011197132,-0.160907682
105,Jarrett Culver,SF,23,9.5,-4.2,-0.1,0,0.132930514,0.056074766,0.304,0.051703755,0.5,0.32,-0.850503644,-0.600487901,-0.619704265,-0.614345062,0.504676727,0.504578297,0.504028505,0.217796781,0.214176249,0.180733291
310,Cody Martin,SF,27,8.7,-4.6,-0.1,0.1,0.151057402,0.14953271,0.272,0.052538248,0.329,-5.89,-0.863148125,-0.671841457,-0.620114479,-0.671795658,0.500202381,0.50019914,0.506830309,0.008038095,0.011197132,0.158009207
247,Keon Johnson,SG,20,9,-5.4,-0.4,-0.5,0.141993958,0.140186916,0.088,0.147566064,0.402,-3.96,-0.999980379,-0.634059437,-0.622147442,-0.606211772,0.49805314,0.498016101,0.501028348,-0.06852657,-0.072388191,0.178129397
37,MarJon Beauchamp,SF,22,8.2,-4.8,-0.5,0.4,0.15407855,0.065420561,0.176,0.247739917,0.707,3.61,-0.906207057,-0.642528296,-0.626024025,-0.618372858,0.501837292,0.502055693,0.516618228,0.104802059,0.108047752,0.158009207
215,Justin Holiday,SF,33,6.75,-3.9,-0.2,0.1,0.134441088,0.08411215,0.104,0.127451321,0.4815,0.09,-1.043207311,-0.609927579,-0.627480065,-0.645842807,0.495860902,0.496115045,0.499576465,-0.289736842,-0.275107813,0.180733291
220,Caleb Houstan,SF,20,6.2,-4,-0.4,0.7,0.114803625,0.056074766,0.152,0.28716968,0.415,-2.39,-0.909166071,-0.576512931,-0.633530277,-0.625823473,0.49805314,0.498016101,0.509118447,-0.06852657,-0.072388191,0.169151186
326,Bryce McGowens,SG,20,7.2,-6,-0.8,0.1,0.160120846,0.112149533,0.16,0.278894298,0.329,-5.89,-0.996268273,-0.758863526,-0.639048881,-0.646663746,0.49805314,0.498016101,0.490411327,-0.06852657,-0.072388191,-1.326828248
287,Alex Len,C,29,12.8,-4,-0.1,0.3,0.051359517,0.046728972,0.184,0.05744089,0.585,2.3,-0.89265138,-0.644998581,-0.642439951,-0.681522019,0.503932624,0.504477885,0.489036673,0.109143026,0.122744987,0.234955367
467,Garrett Temple,SG,36,10.5,-1,0,0.3,0.060422961,0.046728972,0.056,0.057892907,0.512,1.63,-0.909798769,-0.67576607,-0.642958672,-0.600671439,0.519456522,0.519684744,0.482224249,0.540434783,0.571124204,0.262347156
274,Furkan Korkmaz,SG,25,9.3,-4.4,-0.2,0.1,0.114803625,0.056074766,0.088,0.125347705,0.659,4.37,-0.990151496,-0.5928829,-0.650325963,-0.611128808,0.508199225,0.507789807,0.512662362,0.308763566,0.295673654,0.169151186
419,Isaiah Roby,PF,24,9.3,-4.6,-0.3,-0.1,0.123867069,0.08411215,0.2,0.168045897,0.268,-9.82,-0.911022247,-0.63573823,-0.650794446,-0.62233327,0.506668716,0.506953653,0.504893839,0.245491803,0.252771118,0.408765468
363,Nerlens Noel,C,28,10,-2,0,0.1,0.069486405,0.046728972,0.208,0.055945758,0.207,-7.73,-0.842114843,-0.617346383,-0.652266461,-0.611855425,0.496944006,0.498272086,0.501359472,-0.087681388,-0.035907137,-0.160907682
95,Amir Coffey,SF,25,7,-5,-0.5,0.4,0.102719033,0.102803738,0.088,0.22096662,0.537,0.31,-1.038965374,-0.678741239,-0.65557323,-0.712785839,0.508199225,0.507789807,0.50937108,0.308763566,0.295673654,0.010610273
282,Jake LaRavia,PF,21,6.7,-3.5,-0.2,0.5,0.090634441,0.056074766,0.144,0.147357441,0.622,3.6,-0.9443898,-0.595200676,-0.657651914,-0.662950933,0.504073129,0.503952846,0.503725848,0.152942177,0.159337781,0.140500398
472,JT Thor,PF,20,7,-4.7,-0.7,0.2,0.114803625,0.046728972,0.176,0.341098748,0.329,-5.89,-0.951571955,-0.676640052,-0.66126885,-0.668258738,0.49805314,0.498016101,0.515826232,-0.06852657,-0.072388191,0.169151186
477,Juan Toscano-Anderson,SF,29,7.2,-3.85,-0.15,0.25,0.092145015,0.121495327,0.196,0.125764951,0.4875,-0.3,-0.942483448,-0.601608479,-0.66484575,-0.690617735,0.503932624,0.504477885,0.521361231,0.109143026,0.122744987,0.140500398
226,Serge Ibaka,C,33,9.8,-4.5,-0.1,0.2,0.123867069,0.028037383,0.224,0.067663421,0.707,3.61,-0.96516006,-0.744062418,-0.672252624,-0.680766885,0.495860902,0.496115045,0.516212538,-0.289736842,-0.275107813,0.408765468
345,Wendell Moore Jr.,SG,21,9.3,-2.4,0,0.1,0.042296073,0.056074766,0.048,0.054346314,0.512,-0.22,-0.946221754,-0.711534337,-0.677323886,-0.635951105,0.504073129,0.503952846,0.509800971,0.152942177,0.159337781,-0.990433437
