Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (DecisionTree),Predicted Trade Value (RandomForest),Predicted Trade Value (GradientBoosting)
76,Jaylen Brown,SF,25,18.9,2.1,2.2,5.8,0.77124183,0.324074074,0.414965986,0.779963974,0.695,6.38,1.212996481,1.1262047,1.128273095,1.121258189
339,Kevin Love,C,33,19.6,4.5,2.7,5.7,0.444444444,0.203703704,0.489795918,0.583864487,0.622,5.23,0.817655981,1.084680892,1.080296158,1.11983147
377,Khris Middleton,SF,30,18.1,1.6,1.9,5.3,0.656862745,0.5,0.367346939,0.752182347,0.707,3.61,0.952473217,1.18419822,1.06479291,0.983464653
557,Nikola Vučević,C,31,18.2,0.9,1.8,4.5,0.575163399,0.296296296,0.74829932,0.848378828,0.488,1.37,0.69060481,0.73838014,1.06449256,1.08653526
113,Mike Conley,PG,34,17.2,3.1,2.7,6.7,0.447712418,0.490740741,0.204081633,0.722114452,0.451,-1.03,1.015091646,1.279239019,1.063573037,1.082382594
28,Desmond Bane,SG,23,17.6,2.7,2.7,7.2,0.594771242,0.25,0.299319728,0.794582236,0.622,3.6,1.35071253,0.900714872,1.051456052,1.206809538
156,Anthony Edwards,SG,20,16.5,1.2,2,4.3,0.696078431,0.351851852,0.326530612,0.86542192,0.512,-0.22,0.9976111,1.099790562,1.041711251,1.029547735
22,Deandre Ayton,C,23,21.9,2.8,2.1,7.3,0.562091503,0.12962963,0.693877551,0.602916724,0.549,2.08,1.278121934,1.192860215,1.028258889,1.060918289
80,Jalen Brunson,SG,25,17.1,0.9,1.9,7.5,0.532679739,0.444444444,0.265306122,0.884682001,0.463,-0.14,1.272572449,0.842658848,1.017724924,0.956764355
340,Kyle Lowry,PG,35,15,2,2.1,6.4,0.437908497,0.694444444,0.306122449,0.749930719,0.537,-0.13,0.909892723,0.87623389,0.996525033,0.941292705
358,Tyrese Maxey,PG,21,16.2,0.6,1.8,7.3,0.571895425,0.398148148,0.217687075,0.92950672,0.659,4.37,1.308527915,0.973083238,0.981452752,0.973076965
478,Mitchell Robinson,C,23,20.7,2.2,2,8.5,0.277777778,0.046296296,0.585034014,0.648364972,0.573,2.99,1.160393369,0.786643379,0.953326744,1.055037486
32,Scottie Barnes,PF,20,16.3,0.9,1.9,6.6,0.5,0.324074074,0.510204082,0.918110018,0.5,1.59,1.199488116,0.517636034,0.953060292,0.996611589
218,James Harden,PG,32,21.1,3.95,1.85,3.85,0.710784314,0.958333333,0.513605442,0.431221422,0.604,2.7,1.039968129,0.97393966,0.951729006,0.865858913
595,Christian Wood,C,26,19.1,1.6,1.9,4.9,0.58496732,0.212962963,0.68707483,0.735347097,0.268,-7.62,0.836649166,0.6633592,0.941355924,0.92247453
265,Brandon Ingram,SF,24,18.7,2,1.9,3.9,0.741830065,0.518518519,0.394557823,0.658514618,0.512,1.63,0.961017614,0.953441705,0.905774603,0.961439956
127,Anthony Davis,C,28,23.9,3.8,2,4.5,0.758169935,0.287037037,0.673469388,0.497817653,0.524,0.43,1.002678671,0.635193786,0.870439566,0.942823928
447,Jakob Poeltl,C,26,20.8,1.6,1.7,6.9,0.441176471,0.259259259,0.632653061,0.691769433,0.268,-9.82,1.052887397,0.967306013,0.857825559,0.937224565
106,Brandon Clarke,PF,25,23.7,4.2,2,6.3,0.339869281,0.12037037,0.360544218,0.437681862,0.622,3.6,0.920459391,0.794046657,0.853573218,0.84988642
450,Jordan Poole,SG,22,16.1,1,1.7,6,0.604575163,0.37037037,0.231292517,0.800540391,0.537,1.66,1.048322601,1.098137656,0.850643902,0.852176591
467,Julius Randle,PF,27,15.7,0.5,1.6,3.1,0.656862745,0.472222222,0.673469388,0.892787862,0.573,2.99,0.651260845,0.44800634,0.807545651,0.796352194
2,Steven Adams,C,28,17.6,2,2,6.8,0.225490196,0.314814815,0.680272109,0.700879867,0.622,3.6,0.861791343,0.703908847,0.789400253,0.774841688
214,Tyrese Haliburton,SG,21,17,2.6,2,4,0.467320261,0.685185185,0.265306122,0.619890536,0.585,2.3,0.933763104,0.87623389,0.782602394,0.840096213
384,Evan Mobley,PF,20,16.1,0.6,1.5,5.2,0.490196078,0.231481481,0.56462585,0.818484135,0.622,5.23,0.835949658,0.700843279,0.782307689,0.73269321
227,Isaiah Hartenstein,C,23,22,4.5,2,5.5,0.27124183,0.222222222,0.333333333,0.426735486,0.537,0.31,0.832050635,0.640118306,0.771949925,0.676979155
224,Tobias Harris,PF,29,15.9,0,1.3,5.6,0.562091503,0.324074074,0.462585034,0.892268256,0.659,4.37,0.735590937,0.545159997,0.727615222,0.76583879
488,Domantas Sabonis,PF,25,21.6,3.45,1.6,3.55,0.617647059,0.5,0.829931973,0.381096716,0.506,-0.305,0.820948101,0.672246955,0.720402403,0.551702547
486,D'Angelo Russell,PG,25,16.3,0.8,1.4,4.4,0.591503268,0.657407407,0.224489796,0.729873909,0.512,-0.22,0.834359851,0.579347309,0.719542832,0.782240256
236,Tyler Herro,SG,22,16.2,0.7,1.5,3.8,0.676470588,0.37037037,0.340136054,0.755715671,0.537,-0.13,0.73934293,0.619288521,0.716853953,0.675387283
96,Wendell Carter Jr.,PF,22,18.4,1.6,1.7,5,0.490196078,0.259259259,0.714285714,0.651205487,0.415,-2.39,0.841082338,0.545451895,0.701631997,0.832115469
189,Paul George,PF,31,18.6,3.7,1.6,1.3,0.794117647,0.527777778,0.469387755,0.384404877,0.537,0.31,0.370296792,0.940603692,0.687581188,0.482286151
85,Alec Burks,SG,30,13.7,0.8,1.7,6.1,0.382352941,0.277777778,0.333333333,0.812179576,0.573,2.99,0.612896822,0.690301856,0.678685724,0.753605481
509,Marcus Smart,PG,27,13.6,0.5,1.5,5.6,0.395424837,0.546296296,0.258503401,0.805840377,0.695,6.38,0.732343529,0.815671495,0.663106996,0.744080189
31,Harrison Barnes,PF,29,15.7,0.2,1.4,6,0.535947712,0.222222222,0.380952381,0.90463489,0.585,2.3,0.727437599,0.664055101,0.652212404,0.734772642
605,Ivica Zubac,C,24,19.2,0.7,1.3,7.2,0.336601307,0.148148148,0.578231293,0.649300263,0.537,0.31,0.862698197,0.495078204,0.64236284,0.666912515
47,Saddiq Bey,SF,22,14,-0.3,1.2,4,0.526143791,0.259259259,0.367346939,0.947415824,0.207,-7.73,0.561623287,0.664055101,0.624202997,0.729059396
457,Dwight Powell,C,30,18.1,0.9,1.3,8.2,0.284313725,0.111111111,0.333333333,0.629728419,0.463,-0.14,0.74304437,0.650779148,0.619491987,0.567278933
168,Dorian Finney-Smith,PF,28,12.5,0.8,1.9,6.6,0.359477124,0.175925926,0.319727891,0.926666205,0.463,-0.14,0.701759381,0.60853074,0.61902446,0.716835053
281,Cameron Johnson,PF,25,15.2,2.7,2.1,5.6,0.408496732,0.138888889,0.278911565,0.607662464,0.549,2.08,0.668788807,0.270994661,0.606022901,0.60590671
181,Daniel Gafford,C,23,21.8,1.6,1.3,6,0.307189542,0.083333333,0.387755102,0.506477761,0.427,-1.06,0.680082244,0.458949579,0.597870096,0.573444056
547,Gary Trent Jr.,SG,23,14.7,0.2,1.3,5.6,0.598039216,0.185185185,0.183673469,0.859429126,0.5,1.59,0.757315952,0.573311756,0.590927761,0.653508436
395,Monte Morris,PG,26,14.7,0,1.1,5.4,0.411764706,0.407407407,0.204081633,0.78526396,0.646,3.04,0.603355019,0.545871527,0.584554952,0.517891511
582,Andrew Wiggins,SF,26,15,0.4,1.4,5.1,0.562091503,0.203703704,0.306122449,0.817479562,0.537,1.66,0.622297387,0.507218777,0.580852516,0.65189632
266,Kyrie Irving,PG,29,21.4,3,1.4,3.3,0.895424837,0.537037037,0.299319728,0.39025911,0.549,1.03,0.779832961,0.940603692,0.580475209,0.565540069
27,Mo Bamba,C,23,16.5,0.7,1.2,4.5,0.346405229,0.111111111,0.551020408,0.640051268,0.415,-2.39,0.397231167,0.525835176,0.560017245,0.478121945
